topic,domain,title,code
How Do We Use Glucose To Get Energy?,Earth and Life Science,Life Science,S11/12LT-IIa-3
How Do We Use Glucose To Get Energy?,Earth and Life Science,Life Science,S11/12LT-IIa-3
How Do Plants And Animals Reproduce?,Earth and Life Science,Life Science,S11/12LT-IIej- 15 
How Do Plants And Animals Reproduce?,Earth and Life Science,Life Science,S11/12LT-IIej- 19
How Do You Sustain Life?,Earth and Life Science,Life Science,S11/12LT-IIIaj- 22
How Do You Sustain Life?,Earth and Life Science,Life Science,S11/12LT-IIIaj- 22
How Do Plants Sustain Life?,Earth and Life Science,Life Science,S11/12LT-IIIaj- 22
How Do Plants Sustain Life?,Earth and Life Science,Life Science,S11/12LT-IIIaj- 22
How Are Ecosystems Interdependent?,Earth and Life Science,Life Science,
How Are Ecosystems Interdependent?,Earth and Life Science,Life Science,S11/12LT-IVhj- 29
What Is Evolution?,Earth and Life Science,Life Science,S11/12LT-IVfg- 26 
What Is Evolution?,Earth and Life Science,Life Science,S11/12LT-IVfg- 27 
Where did the universe come from?,Earth Science,Earth Science,
Where did the universe come from?,Earth Science,Earth Science,
How did the Solar System form?,Earth Science,Earth Science,
How did the Solar System form?,Earth Science,Earth Science,
"How did the Earth’s interior and atmosphere form?
How is the Earth different from and similar to
other planets?",Earth Science,Earth Science,S11ES-Ia-b-3
"How did the Earth’s interior and atmosphere form?
How is the Earth different from and similar to
other planets?",Earth Science,Earth Science,S11ES-Ia-b-3
What are the four subsystems that comprise the Earth? How does energy flow into each system? ,Earth Science,Earth Science,S11ES-Ia-b-3
What are the four subsystems that comprise the Earth? How does energy flow into each system? ,Earth Science,Earth Science,S11ES-Ia-b-3
What makes the Earth conducive for the existence of life? How can life exist on other planets? ,Earth Science,Earth Science,S11ES-Ia-b-3
What makes the Earth conducive for the existence of life? How can life exist on other planets? ,Earth Science,Earth Science,S11ES-Ia-b-3
What are minerals? How do they form?,Earth Science,Earth Science,S11ES-Ib-5
What are minerals? How do they form?,Earth Science,Earth Science,S11ES-Ib-5
What are igneous rocks? How do igneous rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are igneous rocks? How do igneous rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are sedimentary rocks? How do sedimentary rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are sedimentary rocks? How do sedimentary rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are metamorphic rocks? How do metamorphic rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are metamorphic rocks? How do metamorphic rocks form?,Earth Science,Earth Science,S11ES-Ic-6
What are the Earth’s resources?,Earth Science,Earth Science,S11ES-Ic-d-8
What are the Earth’s resources?,Earth Science,Earth Science,S11ES-Ie-11
How does our resource use affect the environment?,Earth Science,Earth Science,S11ES-Ii-j-20
How does our resource use affect the environment?,Earth Science,Earth Science,S11ES-Ii-j-20
What is plate tectonics? What does it have to do with Earth’s internal structure?,Earth Science,Earth Science,S11ES-IIb-c-23 
What is plate tectonics? What does it have to do with Earth’s internal structure?,Earth Science,Earth Science,S11ES-IId-27
What are earthquakes? Why do they occur?,Earth Science,Earth Science,S11ES-IId-27
What are earthquakes? Why do they occur?,Earth Science,Earth Science,S11ES-IId-27
What are volcanoes? Why do they erupt?,Earth Science,Earth Science,S11ES-IIg-h-34
What are volcanoes? Why do they erupt?,Earth Science,Earth Science,S11ES-IIg-h-34
How do mountains and mountain belts form?,Earth Science,Earth Science,S11ES-IIg-h-34
How do mountains and mountain belts form?,Earth Science,Earth Science,S11ES-IIg-h-34
What happens when and after rocks experience weathering end erosion?,Earth Science,Earth Science,S11ES-IIa-22 
What happens when and after rocks experience weathering end erosion?,Earth Science,Earth Science,S11ES-IIa-22 
What is mass wasting?,Earth Science,Earth Science,S11ES-IId-27
What is mass wasting?,Earth Science,Earth Science,S11ES-IId-27
What are fossils? How do they form?,Earth Science,Earth Science,S11ES-Ii-j-38
What are fossils? How do they form?,Earth Science,Earth Science,S11ES-Ii-j-38
What is geologic time? How do you date rocks?,Earth Science,Earth Science,S11ES-Ii-j-38
What is geologic time? How do you date rocks?,Earth Science,Earth Science,S11ES-Ii-j-38
What happened in the Earth’s past?,Earth Science,Earth Science,S11ES-IIj-39 
What happened in the Earth’s past?,Earth Science,Earth Science,S11ES-IIj-39 
LESSON 1: What are relations and functions?,General Mathematics,General Mathematics,M11GM-Ia-1
LESSON 1: What are relations and functions?,General Mathematics,General Mathematics,M11GM-Ia-1
"LESSON 2: How can piecewise functions be utilized
to describe social phenomena?",General Mathematics,General Mathematics,M11GM-Ia-1
"LESSON 2: How can piecewise functions be utilized
to describe social phenomena?",General Mathematics,General Mathematics,M11GM-Ia-1
LESSON 3: How do you evaluate functions?,General Mathematics,General Mathematics,M11GM-Ia-2
LESSON 3: How do you evaluate functions?,General Mathematics,General Mathematics,M11GM-Ia-2
LESSON 4: How do you operate on functions?,General Mathematics,General Mathematics,M11GM-Ia-4
LESSON 4: How do you operate on functions?,General Mathematics,General Mathematics,M11GM-Ia-4
LESSON 5: What are rational functions?,General Mathematics,General Mathematics,M11GM-Ib-1
LESSON 5: What are rational functions?,General Mathematics,General Mathematics,M11GM-Ib-1
"LESSON 6: What are one-to-one functions and
inverse functions?",General Mathematics,General Mathematics,M11GM-Id-2
"LESSON 6: What are one-to-one functions and
inverse functions?",General Mathematics,General Mathematics,M11GM-Id-2
LESSON 7: What are exponential functions?,General Mathematics,General Mathematics,M11GM-Ie-3
LESSON 7: What are exponential functions?,General Mathematics,General Mathematics,M11GM-Ie-3
"LESSON 8: How are exponential functions used in
real-life situations?",General Mathematics,General Mathematics,M11GM-Ie-3
"LESSON 8: How are exponential functions used in
real-life situations?",General Mathematics,General Mathematics,M11GM-Ie-3
LESSON 9: What are logarithmic expressions?,General Mathematics,General Mathematics,M11GM-Ih-2
LESSON 9: What are logarithmic expressions?,General Mathematics,General Mathematics,M11GM-Ih-2
LESSON 10: How do you solve logarithmicfunctions?,General Mathematics,General Mathematics,M11GM-Ih-i-1
LESSON 10: How do you solve logarithmicfunctions?,General Mathematics,General Mathematics,M11GM-Ih-i-1
LESSON 11: What are simple and compound interests,General Mathematics,General Mathematics,M11GM-IIa-1
LESSON 11: What are simple and compound interests,General Mathematics,General Mathematics,M11GM-IIa-1
LESSON 12: What is ordinary annuity?,General Mathematics,General Mathematics,M11GM-IIc-1
LESSON 12: What is ordinary annuity?,General Mathematics,General Mathematics,M11GM-IIc-1
LESSON 13: What are other types of annuities?,General Mathematics,General Mathematics,M11GM-IIc-2
LESSON 13: What are other types of annuities?,General Mathematics,General Mathematics,M11GM-IIc-2
LESSON 14: What are stocks and bonds,General Mathematics,General Mathematics,M11GM-IIe-1
LESSON 14: What are stocks and bonds,General Mathematics,General Mathematics,M11GM-IIe-1
LESSON 15: What are loans?,General Mathematics,General Mathematics,"M11GM-IIf-1"
LESSON 15: What are loans?,General Mathematics,General Mathematics,M11GM-IIf-1
"LESSON 16: What new propositions are formed
using logical connectives?",General Mathematics,General Mathematics,M11GM-IIh-2
"LESSON 16: What new propositions are formed
using logical connectives?",General Mathematics,General Mathematics,M11GM-IIh-2
LESSON 17: What are the special forms of propositions?,General Mathematics,General Mathematics,M11GM-IIh-2
LESSON 17: What are the special forms of propositions?,General Mathematics,General Mathematics,M11GM-IIh-2
"LESSON 18: When can you say that two propositions
are logically equivalent?",General Mathematics,General Mathematics,M11GM-IIh-1
"LESSON 18: When can you say that two propositions
are logically equivalent?",General Mathematics,General Mathematics,M11GM-IIh-1
"LESSON 19: When can you say that an argument
is valid and sound?",General Mathematics,General Mathematics,M11GM-IIi-2
"LESSON 19: When can you say that an argument
is valid and sound?",General Mathematics,General Mathematics,M11GM-IIi-2
Lesson 20: How can you prove if an argument is valid,General Mathematics,General Mathematics,M11GM-IIi-3
Lesson 20: How can you prove if an argument is valid,General Mathematics,General Mathematics,M11GM-IIi-3
Lesson 1: What is the Goal of Philosophy?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Id-2.2
Lesson 1: What is the Goal of Philosophy?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Id-2.2
Lesson 2: What are the Branches of Philosophy?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Id-2.2
Lesson 2: What are the Branches of Philosophy?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Id-2.2
Lesson 3: How do we Think Critically?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ic-2.1
Lesson 3: How do we Think Critically?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ic-2.1
Lesson 4: How do we Argue?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ig-3.2
Lesson 4: How do we Argue?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ig-3.2
Lesson 5: Is my Argument Valid?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ij-4.3
Lesson 5: Is my Argument Valid?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ij-4.3
Lesson 6: Why are We Here?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ii-4.2
Lesson 6: Why are We Here?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ii-4.2
Lesson 7: Where does the World Come From?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ib-1.2
Lesson 7: Where does the World Come From?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ib-1.2
Lesson 8: How do we Know the Truth?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ic-2.1
Lesson 8: How do we Know the Truth?,Introduction to Philosophy of the Human Person ,-,PPT11/12-Ic-2.1
Lesson 9: What does it Mean to be Human?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 9: What does it Mean to be Human?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 10: Why do we Love?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIg-7.3
Lesson 10: Why do we Love?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIg-7.3
Lesson 11: Does God Exist?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 11: Does God Exist?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 12: Where is the Self?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 12: Where is the Self?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 13: How do we Experience the Other?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIc-6.1
Lesson 13: How do we Experience the Other?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIc-6.1
Lesson 14: How should we Interact with the Other?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIc-6.1
Lesson 14: How should we Interact with the Other?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIc-6.1
Lesson 15: Are we Really Free?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIh-8.1
Lesson 15: Are we Really Free?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIh-8.1
Lesson 16: Why do We Need Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 16: Why do We Need Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 17: Is Society for All?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 17: Is Society for All?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 18: What is the Role of Morality in Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 18: What is the Role of Morality in Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 19: What is the Ideal Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 19: What is the Ideal Society?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIf-7.1
Lesson 20: What is Meaning in Life?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Lesson 20: What is Meaning in Life?,Introduction to Philosophy of the Human Person ,-,PPT11/12-IIi-8.2
Aralin 1: Ano ang kahalagahan ng wika?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Paglinang ng Talasalitaan,F11PT – Ia – 85
Aralin 1: Ano ang kahalagahan ng wika?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Paglinang ng Talasalitaan,F11PT – Ia – 85
Aralin 2: Bakit nagkakaroon ng barayti at baryasyon sa loob ng lingguwistikong komunidad?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
"Aralin 2: Bakit nagkakaroon ng barayti at baryasyon sa loob
ng lingguwistikong komunidad?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
"Aralin 3: Ano ba ang naitutulong sa atin ng wika at sa
pakikipag-ugnayan natin sa ating kapwa?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Paglinang ng Talasalitaan,F11PT – Ic – 86
"Aralin 3: Ano ba ang naitutulong sa atin ng wika at sa
pakikipag-ugnayan natin sa ating kapwa?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Paglinang ng Talasalitaan,F11PT – Ic – 86
"Aralin 4: Paano naipapahayag sa tulong ng wika ang
sariling kasarian at napapanatili ng naghaharing-uri ang
estado sa lipunan?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsasalita,F11PS – IIb – 89
"Aralin 4: Paano naipapahayag sa tulong ng wika ang
sariling kasarian at napapanatili ng naghaharing-uri ang
estado sa lipunan?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsasalita,F11PS – IIb – 89
"Aralin 5: Paano napapairal ang nasyonalismo at
kapangyarihan gamit ang wika?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Napakinggan,F11PN – If – 87
"Aralin 5: Paano napapairal ang nasyonalismo at
kapangyarihan gamit ang wika?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Napakinggan,F11PN – If – 87
"Aralin 6: Ano ang kasaysayang pinagdaanan sa pagbubuo
ng wikang pambansa ?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,F11WG – Ih – 86
"Aralin 6: Ano ang kasaysayang pinagdaanan sa pagbubuo
ng wikang pambansa ?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,F11WG – Ih – 86
"Aralin 7: Paano umuunlad ang wikang pambansa sa
larangan ng pamamahala, kalakalan, at negosyo?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,F11WG – IIc – 87
"Aralin 7: Paano umuunlad ang wikang pambansa sa
larangan ng pamamahala, kalakalan, at negosyo?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,F11WG – IIc – 87
"Aralin 8: Ano ang kalagayan ng wikang pambansa sa mass
media at social media?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 8: Ano ang kalagayan ng wikang pambansa sa mass
media at social media?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 9: Umuunlad ba ang wikang pambansa sa larangan
ng edukasyon at relihiyon?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsasalita,F11PS – Ig – 88
"Aralin 9: Umuunlad ba ang wikang pambansa sa larangan
ng edukasyon at relihiyon?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsasalita,F11PS – Ig – 88
Aralin 10: Ano ang kakayahang lingguwistiko ng isang tao?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
Aralin 10: Ano ang kakayahang lingguwistiko ng isang tao?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
"Aralin 11: Paano naipapakita ang sosyolingguwistikong
kakayahan gamit ang wikang Filipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 11: Paano naipapakita ang sosyolingguwistikong
kakayahan gamit ang wikang Filipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 12: Ano ang kakayahang pragmatiko sa paraan ng
pakikipagkomunikasyon ng mga Pilipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 12: Ano ang kakayahang pragmatiko sa paraan ng
pakikipagkomunikasyon ng mga Pilipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 13: Paano napapaunlad ang kakayahang diskorsal sa
paggamit ng wikang Filipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
"Aralin 13: Paano napapaunlad ang kakayahang diskorsal sa
paggamit ng wikang Filipino?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
Aralin 14: Ano ang maka-Pilipinong pananaliksik?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
Aralin 14: Ano ang maka-Pilipinong pananaliksik?,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
"Aralin 15: Ano ang mga unang hakbang bago isulat ang
pananaliksik?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
"Aralin 15: Ano ang mga unang hakbang bago isulat ang
pananaliksik?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
"Aralin 16: Paano maisasaayos ang mga ideya sa
pananaliksik, at paano ito maipapakilala sa mambabasa?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
"Aralin 16: Paano maisasaayos ang mga ideya sa
pananaliksik, at paano ito maipapakilala sa mambabasa?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
"Aralin 17: Ano ang mga lapit at pamamaraan sa pagkalap
ng datos?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 17: Ano ang mga lapit at pamamaraan sa pagkalap
ng datos?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pag-unawa sa Binasa,F11PB – IIa – 96
"Aralin 18: Bakit kailangan ng pag-iingat sa pagsusulat ng
mga ideya sa pananaliksik?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
"Aralin 18: Bakit kailangan ng pag-iingat sa pagsusulat ng
mga ideya sa pananaliksik?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Panonood,F11PD – IIb – 88
"Aralin 19: Ano ang iba’t ibang paraan ng pagsisinop ng tala
at pagsulat ng talasanggunian?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
"Aralin 19: Ano ang iba’t ibang paraan ng pagsisinop ng tala
at pagsulat ng talasanggunian?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Wika at Gramatika,"F11WG – IIh –89"
"Aralin 20: Pagkatapos isulat ang unang borador ng
pananaliksik, ano ang mga susunod na hakbang bago ito
isumite?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
"Aralin 20: Pagkatapos isulat ang unang borador ng
pananaliksik, ano ang mga susunod na hakbang bago ito
isumite?",Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,Pagsulat,F11PU – IIg – 88
Aralin 1: Ano ang mga Batayang Kaalaman na Kailangang Malaman sa Mapanuring Pagbasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 1: Ano ang mga Batayang Kaalaman na Kailangang Malaman sa Mapanuring Pagbasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 1: Ano ang mga Batayang Kaalaman na Kailangang Malaman sa Mapanuring Pagbasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 1: Ano ang mga Batayang Kaalaman na Kailangang Malaman sa Mapanuring Pagbasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 2: Ano ang mga Pangunahing Kaalaman sa Pagsusuri ng Teksto na Kailangang Malaman?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsasalita,"F11PS – IIIf – 92"
Aralin 3: Paano Sumulat ng Isang Tekstong Impormatibo Upang Makapagbigay ng Dagdag na Kaalaman sa Mambabasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Estratehiya sa Pag-aaral,F11EP – IIId – 36
Aralin 4: Ano ang mga Katangian ng Tekstong Deskriptibo na Magbibigay-Kulay sa Iyong Papel?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 4: Ano ang mga Katangian ng Tekstong Deskriptibo na Magbibigay-Kulay sa Iyong Papel?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 4: Ano ang mga Katangian ng Tekstong Deskriptibo na Magbibigay-Kulay sa Iyong Papel?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IIIa – 8
Aralin 5: Paano Nakahihikayat ang Tekstong Persuweysib sa Mambabasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Estratehiya sa Pag-aaral,F11EP – IIId – 36
Aralin 5: Paano Nakahihikayat ang Tekstong Persuweysib sa Mambabasa?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Estratehiya sa Pag-aaral,F11EP – IIId – 36
Aralin 6: Bakit Mahalaga ang Tekstong Naratibo sa Pang-Araw-Araw na Buhay?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IIId – 99
Aralin 7: Paano Sumulat at Sumuri ng Nilalaman ng Isang Argumentatibong Sanaysay?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 7: Paano Sumulat at Sumuri ng Nilalaman ng Isang Argumentatibong Sanaysay?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 8: Ano ang mga Dapat Gawin sa Pagsulat ng Prosidyural na Sanaysay?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 8: Ano ang mga Dapat Gawin sa Pagsulat ng Prosidyural na Sanaysay?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 9: Paano Makatutulong ang Maka-Pilipinong Pananaliksik sa Pamimili ng Paksa at Pagbuo ng Isang Pag-aaral?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Estratehiya sa Pag-aaral,F11EP – IVij - 38
Aralin 9: Paano Makatutulong ang Maka-Pilipinong Pananaliksik sa Pamimili ng Paksa at Pagbuo ng Isang Pag-aaral?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Estratehiya sa Pag-aaral,F11EP – IVij - 38
Aralin 10: Ano ang mga Dapat at Tamang Gawin ng Isang Mananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 10: Ano ang mga Dapat at Tamang Gawin ng Isang Mananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 11: Paano Sisimulan ang Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 11: Paano Sisimulan ang Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 12: Ano ang mga Bahagi ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 12: Ano ang mga Bahagi ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 13: Ano pa ang Ibang Bahagi ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 13: Ano pa ang Ibang Bahagi ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pagsulat,F11PU – IVef – 91
Aralin 14: Ano ang Iba’t Ibang Disenyo ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 14: Ano ang Iba’t Ibang Disenyo ng Pananaliksik?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 15: Ano ang mga Paraan sa Pagkalap ng mga Datos o Impormasyon?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IVcd – 89
Aralin 15: Ano ang mga Paraan sa Pagkalap ng mga Datos o Impormasyon?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IVcd – 89
Aralin 16: Ano ang mga Katutubong Pamamaraan ng Pagkalap ng Datos?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IVcd – 89
Aralin 16: Ano ang mga Katutubong Pamamaraan ng Pagkalap ng Datos?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Paglinang ng Talasalitaan,F11PT – IVcd – 89
Aralin 17: Ano ang mga Paraan sa Pagsisinop ng mga Ideya Mula sa mga Sanggunian?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
Aralin 17: Ano ang mga Paraan sa Pagsisinop ng mga Ideya Mula sa mga Sanggunian?,Pagbasa at Pagsususuri ng Iba't Ibang Teksto Tungo sa Pananaliksik,Pag-unawa sa Binasa,F11PB – IVab – 100
